text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
spick,spic,racial / ethnic slurs,2.8,Severe,spick
cunt fart,cunt,sexual anatomy / sexual acts,2.6,Severe,cuntfart
motherfxcking,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfxcking
mofuck,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mofuck
bitch,bitch,sexual orientation / gender,1.4,Mild,bitch
higg@,nigger,racial / ethnic slurs,2.6,Severe,higg@
faggoting,faggot,sexual orientation / gender,3.0,Severe,faggoting
motherfucking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfucking
cuntness,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntness
cock-sucker,cock,sexual anatomy / sexual acts,2.0,Strong,cock-sucker
jizzfucker,fuck,bodily fluids / excrement,2.6,Severe,jizzfucker
niggahs,nigger,racial / ethnic slurs,2.2,Strong,niggahs
tar-baby,tar-baby,racial / ethnic slurs,2.6,Severe,tar-baby
hustler,hustler,other / general insult,1.0,Mild,hustler
finger,finger,sexual anatomy / sexual acts,1.0,Mild,finger
ass fucking nob jokeys,fuck,sexual anatomy / sexual acts,2.6,Severe,assfuckingnobjokeys
chingchong,chingchong,racial / ethnic slurs,2.8,Severe,chingchong
fugly,fuck,physical attributes,1.4,Mild,fugly
cuntlick,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntlick
spicshit,spic,bodily fluids / excrement,3.0,Severe,spicshit
arse-bandit,arse,sexual orientation / gender,2.0,Strong,arse-bandit
fukking,fuck,sexual anatomy / sexual acts,2.0,Strong,fukking
m@derfuckers,motherfucker,sexual anatomy / sexual acts,2.6,Severe,m@derfuckers
funbags,funbags,sexual anatomy / sexual acts,1.0,Mild,funbags
phucc,fuck,sexual anatomy / sexual acts,2.0,Strong,phucc
cunt lips,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntlips
nigguhs,nigger,racial / ethnic slurs,3.0,Severe,nigguhs
ja!lbait,jailbait,sexual anatomy / sexual acts,1.0,Mild,ja!lbait
mothafuckasses,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuckasses
faget,faggot,sexual orientation / gender,3.0,Severe,faget
cock-face,cock,sexual anatomy / sexual acts,2.2,Strong,cock-face
fucknuckle,fuck,sexual anatomy / sexual acts,2.4,Strong,fucknuckle
fuckless,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckless
tart,tart,mental disability,1.2,Mild,tart
c0cksuckers,cock,sexual anatomy / sexual acts,2.2,Strong,c0cksuckers
pedo,pedophile,sexual anatomy / sexual acts,2.2,Strong,pedo
tosser,tosser,other / general insult,1.2,Mild,tosser
trashbtch,bitch,sexual orientation / gender,1.4,Mild,trashbtch
horse's asses,ass,sexual anatomy / sexual acts,1.4,Mild,horse'sasses
b1tching,bitch,sexual orientation / gender,1.2,Mild,b1tching
loose woman,loose,sexual orientation / gender,1.4,Mild,loosewoman
jewboy,jew,racial / ethnic slurs,2.8,Severe,jewboy
asswipe,ass,sexual anatomy / sexual acts,1.6,Strong,asswipe
sh1tt,shit,bodily fluids / excrement,1.0,Mild,sh1tt
mofucckers,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofucckers
f0cked,fuck,sexual anatomy / sexual acts,2.0,Strong,f0cked
cums,cum,bodily fluids / excrement,1.4,Mild,cums
cuunt,cunt,sexual anatomy / sexual acts,2.6,Severe,cuunt
nignog,nigger,racial / ethnic slurs,2.8,Severe,nignog
mothafucced,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafucced
b1tch35,bitch,sexual orientation / gender,1.0,Mild,b1tch35
fag bag,faggot,sexual orientation / gender,2.8,Severe,fagbag
darktard,retard,racial / ethnic slurs,3.0,Severe,darktard
mothafuckings,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafuckings
mothafuck,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafuck
pussy lick,pussy,sexual anatomy / sexual acts,2.4,Strong,pussylick
niggah,nigger,racial / ethnic slurs,2.8,Severe,niggah
nob jockey,knob,sexual anatomy / sexual acts,2.2,Strong,nobjockey
sons of b1tches,bitch,sexual orientation / gender,1.6,Strong,sonsb1tches
peen,penis,sexual anatomy / sexual acts,1.0,Mild,peen
cuntlickers,cunt,sexual anatomy / sexual acts,2.6,Severe,cuntlickers
niccer,nigger,racial / ethnic slurs,2.6,Severe,niccer
zipperhead,zipperhead,racial / ethnic slurs,2.4,Strong,zipperhead
ass kisser,ass,sexual anatomy / sexual acts,1.2,Mild,asskisser
nigga,nigger,racial / ethnic slurs,2.8,Severe,nigga
a_s_s,ass,sexual anatomy / sexual acts,1.0,Mild,a_s_s
mutherfuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mutherfuckers
negro,negro,racial / ethnic slurs,2.0,Strong,negro
blumpkin boy,blumpkin,sexual anatomy / sexual acts,2.4,Strong,blumpkinboy
negroes,negro,racial / ethnic slurs,2.6,Severe,negroes
crazy mofos,motherfucker,sexual anatomy / sexual acts,1.4,Mild,crazymofos
cocsuck,cock,sexual anatomy / sexual acts,2.0,Strong,cocsuck
soppy bollucks,bollocks,sexual anatomy / sexual acts,1.6,Strong,soppybollucks
cock sucking nob jokeys,cock,sexual anatomy / sexual acts,2.8,Severe,cocksuckingnobjokeys
mong,mong,racial / ethnic slurs,1.8,Strong,mong
assfukkerz,fuck,sexual anatomy / sexual acts,2.8,Severe,assfukkerz
piggyfuck,fuck,sexual anatomy / sexual acts,3.0,Severe,piggyfuck
assfukah,fuck,sexual anatomy / sexual acts,2.4,Strong,assfukah
chinavirus,china virus,political,2.6,Severe,chinavirus
motherfcked,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfcked
coonies,coon,racial / ethnic slurs,3.0,Severe,coonies
dick nibbler,dick,sexual anatomy / sexual acts,2.4,Strong,dicknibbler
fagg0t,faggot,sexual orientation / gender,3.0,Severe,fagg0t
goddamned,damn,religious offense,1.8,Strong,goddamned
jiggerboos,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggerboos
kike,kike,racial / ethnic slurs,3.0,Severe,kike
cyberfck,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfck
blacky,blacky,racial / ethnic slurs,2.4,Strong,blacky
dumbfucks,fuck,sexual anatomy / sexual acts,2.2,Strong,dumbfucks
ladyb0i,ladyboy,sexual orientation / gender,2.2,Strong,ladyb0i
knickers,nigger,racial / ethnic slurs,1.8,Strong,knickers
tossing salad,tossing salad,sexual anatomy / sexual acts,1.8,Strong,tossingsalad
pedobears,pedophile,other / general insult,2.2,Strong,pedobears
phuck,fuck,sexual anatomy / sexual acts,2.2,Strong,phuck
fukked,fuck,sexual anatomy / sexual acts,2.0,Strong,fukked
mofukkas,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofukkas
nonce,nonce,other / general insult,1.4,Mild,nonce
bater,masturbate,sexual anatomy / sexual acts,1.6,Strong,bater
knobe,knob,sexual anatomy / sexual acts,1.0,Mild,knobe
dipshite,shit,bodily fluids / excrement,1.6,Strong,dipshite
wet back,wetback,racial / ethnic slurs,2.8,Severe,wetback
fuckasses,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckasses
closet fuckhead,fuck,sexual orientation / gender,2.8,Severe,closetfuckhead
muthafuckkers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,muthafuckkers
chocha,chocha,sexual anatomy / sexual acts,2.4,Strong,chocha
hoe,hoe,sexual orientation / gender,2.0,Strong,hoe
fuker,fuck,sexual anatomy / sexual acts,2.2,Strong,fuker
fellatio aficionado,fellatio,sexual anatomy / sexual acts,2.0,Strong,fellatioaficionado
shitfreak,shit,bodily fluids / excrement,2.0,Strong,shitfreak
fuggerz,fuck,sexual anatomy / sexual acts,2.6,Severe,fuggerz
shit face,shit,bodily fluids / excrement,1.8,Strong,shitface
jiggabooboo,jiggaboo,racial / ethnic slurs,2.4,Strong,jiggabooboo
c0x,cock,sexual anatomy / sexual acts,1.4,Mild,c0x
shylock,shylock,racial / ethnic slurs,1.6,Strong,shylock
shitted,shit,bodily fluids / excrement,1.2,Mild,shitted
l3i + ch,bitch,sexual orientation / gender,1.2,Mild,l3i+ch
shiester,shiester,racial / ethnic slurs,2.0,Strong,shiester
carpetmuncher,carpet muncher,sexual anatomy / sexual acts,2.6,Severe,carpetmuncher
dogsh1ts,shit,bodily fluids / excrement,1.0,Mild,dogsh1ts
dipsh1tty,shit,bodily fluids / excrement,1.6,Strong,dipsh1tty
shitheads,shit,bodily fluids / excrement,1.8,Strong,shitheads
sperm,sperm,bodily fluids / excrement,1.0,Mild,sperm
shat,shit,bodily fluids / excrement,1.2,Mild,shat
meat-sword,meat,sexual anatomy / sexual acts,1.2,Mild,meat-sword
fcka,fuck,sexual anatomy / sexual acts,1.8,Strong,fcka
muthafecker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,muthafecker
fvcka,fuck,sexual anatomy / sexual acts,2.0,Strong,fvcka
cunt,cunt,sexual anatomy / sexual acts,2.6,Severe,cunt
cocklicker,cock,sexual anatomy / sexual acts,2.2,Strong,cocklicker
bitcher,bitch,sexual orientation / gender,1.4,Mild,bitcher
jizz licker,jizz,sexual anatomy / sexual acts,2.4,Strong,jizzlicker
k1ke,kike,racial / ethnic slurs,2.8,Severe,k1ke
cokmuncher,cock,sexual anatomy / sexual acts,2.2,Strong,cokmuncher
whores,whore,sexual orientation / gender,2.0,Strong,whores
s.o.b.s,bitch,other / general insult,1.6,Strong,s.o.b.s
dumasses,ass,sexual anatomy / sexual acts,1.0,Mild,dumasses
wophead,wop,racial / ethnic slurs,2.2,Strong,wophead
douche canoe,douche,sexual anatomy / sexual acts,1.4,Mild,douchecanoe
godd@mnit,damn,religious offense,1.4,Mild,godd@mnit
shitbag,shit,bodily fluids / excrement,2.0,Strong,shitbag
pussy,pussy,sexual anatomy / sexual acts,1.4,Mild,pussy
dick smoker,dick,sexual anatomy / sexual acts,2.4,Strong,dicksmoker
pusses,pussy,sexual anatomy / sexual acts,1.4,Mild,pusses
octopussy,pussy,sexual anatomy / sexual acts,1.2,Mild,octopussy
fuckface,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckface
ass eating nob jokeys,ass,sexual anatomy / sexual acts,2.8,Severe,asseatingnobjokeys
dick-gobbler,dick,sexual anatomy / sexual acts,1.8,Strong,dick-gobbler
mothafuccing,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuccing
shitedick,shit,sexual anatomy / sexual acts,2.0,Strong,shitedick
bellend,bellend,sexual anatomy / sexual acts,1.2,Mild,bellend
cocksuccers,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuccers
mf'ing,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mf'ing
mudderfuk,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mudderfuk
muhfucking,motherfucker,sexual anatomy / sexual acts,2.4,Strong,muhfucking
69,69,sexual anatomy / sexual acts,1.0,Mild,69
ass fuck,fuck,sexual anatomy / sexual acts,2.8,Severe,assfuck
shi+e,shit,bodily fluids / excrement,1.0,Mild,shi+e
phuccing,fuck,sexual anatomy / sexual acts,1.8,Strong,phuccing
fucka,fuck,sexual anatomy / sexual acts,2.2,Strong,fucka
motherfuccas,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuccas
dog's bollocks,bollocks,sexual anatomy / sexual acts,1.2,Mild,dog'sbollocks
nigg@s,nigger,racial / ethnic slurs,2.8,Severe,nigg@s
5h17,shit,bodily fluids / excrement,1.0,Mild,5h17
nigra,nigger,racial / ethnic slurs,2.8,Severe,nigra
spook,spook,racial / ethnic slurs,3.0,Severe,spook
fuckahs,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckahs
c0ckhead,cock,sexual anatomy / sexual acts,2.0,Strong,c0ckhead
mothafvcked,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafvcked
motherfvcker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfvcker
twatface,twat,sexual anatomy / sexual acts,2.4,Strong,twatface
fook,fuck,sexual anatomy / sexual acts,1.6,Strong,fook
Phukking,fuck,sexual anatomy / sexual acts,1.8,Strong,Phukking
b17ch,bitch,sexual orientation / gender,1.4,Mild,b17ch
shitheadfuckface,fuck,sexual anatomy / sexual acts,2.4,Strong,shitheadfuckface
m0thafucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m0thafucker
mufdivin,muff,sexual anatomy / sexual acts,2.8,Severe,mufdivin
cocksmoker,cock,sexual anatomy / sexual acts,2.2,Strong,cocksmoker
shitblimp,shit,bodily fluids / excrement,1.6,Strong,shitblimp
coot coot,coot,sexual anatomy / sexual acts,1.4,Mild,cootcoot
shitdicks,shit,sexual anatomy / sexual acts,2.0,Strong,shitdicks
mongoloid,mongoloid,racial / ethnic slurs,2.2,Strong,mongoloid
mothafuckz,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckz
puzzy,pussy,sexual anatomy / sexual acts,1.2,Mild,puzzy
pu55y,pussy,sexual anatomy / sexual acts,1.6,Strong,pu55y
faggot son-of-a-bitch,faggot,sexual orientation / gender,3.0,Severe,faggotson-of-a-bitch
nickk3r,nigger,racial / ethnic slurs,3.0,Severe,nickk3r
ragheads,raghead,racial / ethnic slurs,2.6,Severe,ragheads
pigfukker,fuck,sexual anatomy / sexual acts,2.8,Severe,pigfukker
fatasses,ass,sexual anatomy / sexual acts,1.2,Mild,fatasses
milf,milf,sexual anatomy / sexual acts,1.8,Strong,milf
cyberfvcks,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfvcks
mof0es,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mof0es
hoe-asses,hoe,sexual orientation / gender,2.2,Strong,hoe-asses
jerking off,jerk off,sexual anatomy / sexual acts,1.0,Mild,jerking
fking,fuck,sexual anatomy / sexual acts,2.2,Strong,fking
double-dong,dong,sexual anatomy / sexual acts,1.4,Mild,double-dong
stump chewer,stump chewer,sexual anatomy / sexual acts,1.4,Mild,stumpchewer
jim crow,jim crow,racial / ethnic slurs,1.4,Mild,jimcrow
n0bhead,knob,sexual anatomy / sexual acts,1.6,Strong,n0bhead
fckking,fuck,sexual anatomy / sexual acts,2.2,Strong,fckking
0rg@sm,orgasm,sexual anatomy / sexual acts,1.0,Mild,0rg@sm
crows,crow,sexual orientation / gender,1.4,Mild,crows
cock-head,cock,sexual anatomy / sexual acts,1.8,Strong,cock-head
dong,dong,sexual anatomy / sexual acts,1.2,Mild,dong
mothafuckas,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckas
darky,darky,racial / ethnic slurs,2.8,Severe,darky
packsomefudgefucker,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packsomefudgefucker
motherfukkings,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfukkings
beaners,beaner,racial / ethnic slurs,2.6,Severe,beaners
jailbait,jailbait,sexual anatomy / sexual acts,1.0,Mild,jailbait
dipshit,shit,bodily fluids / excrement,1.4,Mild,dipshit
fvckker bunny,fuck,sexual anatomy / sexual acts,2.2,Strong,fvckkerbunny
phaggots,faggot,sexual orientation / gender,3.0,Severe,phaggots
fucktard,fuck,sexual anatomy / sexual acts,2.8,Severe,fucktard
shitey,shit,bodily fluids / excrement,1.2,Mild,shitey
sonz of bitchez,bitch,other / general insult,1.8,Strong,sonzbitchez
towelhead,towelhead,racial / ethnic slurs,3.0,Severe,towelhead
fuck head,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckhead
animal fucker,fuck,sexual anatomy / sexual acts,3.0,Severe,animalfucker
knobgobbler,knob,sexual anatomy / sexual acts,1.8,Strong,knobgobbler
fagshit,faggot,bodily fluids / excrement,3.0,Severe,fagshit
fxcked,fuck,sexual anatomy / sexual acts,2.0,Strong,fxcked
she-male,shemale,sexual orientation / gender,2.8,Severe,she-male
packingfudgefucker,fudge packer,sexual anatomy / sexual acts,2.8,Severe,packingfudgefucker
analplugs,anal,sexual anatomy / sexual acts,2.0,Strong,analplugs
mother fuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckers
klan,klan,racial / ethnic slurs,1.8,Strong,klan
asswhole,ass,sexual anatomy / sexual acts,1.4,Mild,asswhole
b0llocks,bollocks,sexual anatomy / sexual acts,1.2,Mild,b0llocks
mfukker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mfukker
n1ggazes,nigger,racial / ethnic slurs,3.0,Severe,n1ggazes
mother fucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfucka
sh1t3,shit,bodily fluids / excrement,1.0,Mild,sh1t3
m0therfvcker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m0therfvcker
sh1theads,shit,bodily fluids / excrement,2.0,Strong,sh1theads
abbie,abraham,racial / ethnic slurs,1.2,Mild,abbie
slanteye b1tch,bitch,racial / ethnic slurs,2.6,Severe,slanteyeb1tch
fk bunny,fuck,sexual anatomy / sexual acts,2.0,Strong,fkbunny
phukup,fuck,sexual anatomy / sexual acts,1.8,Strong,phukup
mothafucked,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafucked
shits,shit,bodily fluids / excrement,1.0,Mild,shits
shitehead,shit,bodily fluids / excrement,1.8,Strong,shitehead
tallywacker,tallywacker,sexual anatomy / sexual acts,1.2,Mild,tallywacker
coon,coon,racial / ethnic slurs,3.0,Severe,coon
shitfuckhead,fuck,other / general insult,2.6,Severe,shitfuckhead
choad nectar,choad,bodily fluids / excrement,2.0,Strong,choadnectar
cockboy,cock,sexual anatomy / sexual acts,2.4,Strong,cockboy
suck,suck,sexual anatomy / sexual acts,1.0,Mild,suck
tramp,tramp,sexual orientation / gender,1.6,Strong,tramp
niggahz,nigger,racial / ethnic slurs,3.0,Severe,niggahz
cumz,cum,bodily fluids / excrement,2.0,Strong,cumz
fxcker,fuck,sexual anatomy / sexual acts,2.2,Strong,fxcker
pigshit,shit,bodily fluids / excrement,1.4,Mild,pigshit
fuck off,fuck,sexual anatomy / sexual acts,2.0,Strong,fuck
fuckwhore,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckwhore
carpet muncher,carpet muncher,sexual anatomy / sexual acts,2.4,Strong,carpetmuncher
fuckk,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckk
slutty,slut,sexual orientation / gender,1.8,Strong,slutty
shiddick,shit,sexual anatomy / sexual acts,2.0,Strong,shiddick
faggots,faggot,sexual orientation / gender,3.0,Severe,faggots
dickheads,dick,sexual anatomy / sexual acts,1.6,Strong,dickheads
f@gs,faggot,sexual orientation / gender,3.0,Severe,f@gs
bitchslap,bitch,sexual orientation / gender,1.0,Mild,bitchslap
ass bandit,ass,sexual anatomy / sexual acts,1.6,Strong,assbandit
nutsack,nutsack,sexual anatomy / sexual acts,1.8,Strong,nutsack
shitassfucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shitassfucker
fuckwad,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckwad
bitchers,bitch,sexual orientation / gender,1.4,Mild,bitchers
shitdip,shit,bodily fluids / excrement,1.8,Strong,shitdip
cumdumpster,cum,bodily fluids / excrement,2.8,Severe,cumdumpster
clusterfucked,fuck,sexual anatomy / sexual acts,2.2,Strong,clusterfucked
fuck up,fuck,sexual anatomy / sexual acts,1.8,Strong,fuck
motherfuckkers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckkers
phuk,fuck,sexual anatomy / sexual acts,2.0,Strong,phuk
packerfudgehead,fudge packer,sexual anatomy / sexual acts,2.2,Strong,packerfudgehead
m@asterbated,masturbate,sexual anatomy / sexual acts,1.4,Mild,m@asterbated
girlieboy,girlyboy,sexual orientation / gender,1.4,Mild,girlieboy
mother fuck you,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfuck
apeshit,ape,bodily fluids / excrement,1.4,Mild,apeshit
MFers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,MFers
jiggs,jiggaboo,racial / ethnic slurs,2.6,Severe,jiggs
prick-face,prick,sexual anatomy / sexual acts,1.2,Mild,prick-face
god damn,damn,religious offense,1.4,Mild,goddamn
ashole,ass,sexual anatomy / sexual acts,1.6,Strong,ashole
god damn it,damn,religious offense,1.8,Strong,goddamn
boll0ck,bollocks,sexual anatomy / sexual acts,1.0,Mild,boll0ck
shemale,shemale,sexual orientation / gender,2.6,Severe,shemale
motherfuckin,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfuckin
pissoff,piss,bodily fluids / excrement,1.2,Mild,pissoff
fudgepackershitter,fudge packer,sexual anatomy / sexual acts,3.0,Severe,fudgepackershitter
m0therfucker,motherfucker,sexual anatomy / sexual acts,2.4,Strong,m0therfucker
b1tchez,bitch,sexual orientation / gender,1.2,Mild,b1tchez
nobj0key,knob,sexual anatomy / sexual acts,1.8,Strong,nobj0key
nigguhz,nigger,racial / ethnic slurs,3.0,Severe,nigguhz
wankbastard,wank,sexual anatomy / sexual acts,1.8,Strong,wankbastard
pigfucker,fuck,sexual anatomy / sexual acts,2.6,Severe,pigfucker
b1tchees,bitch,sexual orientation / gender,1.4,Mild,b1tchees
double dicking,dick,sexual anatomy / sexual acts,2.2,Strong,doubledicking
ladboys,ladyboy,sexual orientation / gender,1.4,Mild,ladboys
cocksucks,cock,sexual anatomy / sexual acts,2.2,Strong,cocksucks
fuckshitface,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckshitface
k!k3,kike,racial / ethnic slurs,2.6,Severe,k!k3
b00bz,boobs,sexual anatomy / sexual acts,1.0,Mild,b00bz
shitsful,shit,bodily fluids / excrement,1.0,Mild,shitsful
tongue fucking,fuck,sexual anatomy / sexual acts,2.8,Severe,tonguefucking
fuckem,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckem
jizzes,jizz,bodily fluids / excrement,2.2,Strong,jizzes
cack,cock,bodily fluids / excrement,1.2,Mild,cack
slut hole,slut,sexual anatomy / sexual acts,2.4,Strong,sluthole
bondage,bondage,sexual anatomy / sexual acts,1.0,Mild,bondage
S&M,sadomasochism,sexual anatomy / sexual acts,1.0,Mild,S&M
gay ass,gay,sexual anatomy / sexual acts,2.6,Severe,gayass
fookuh,fuck,sexual anatomy / sexual acts,1.8,Strong,fookuh
c0ck,cock,sexual anatomy / sexual acts,1.2,Mild,c0ck
markasses,ass,sexual anatomy / sexual acts,2.0,Strong,markasses
fcuked,fuck,sexual anatomy / sexual acts,2.2,Strong,fcuked
sonofbitches,bitch,sexual orientation / gender,1.0,Mild,sonofbitches
bitchin,bitch,other / general insult,1.2,Mild,bitchin
knob gobbler,knob,sexual anatomy / sexual acts,1.8,Strong,knobgobbler
shitfucks,fuck,sexual anatomy / sexual acts,2.4,Strong,shitfucks
sh3male,shemale,sexual orientation / gender,2.4,Strong,sh3male
n1ggah,nigger,racial / ethnic slurs,2.8,Severe,n1ggah
mfs,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mfs
bitch3s,bitch,sexual orientation / gender,1.2,Mild,bitch3s
beat my meat,meat,sexual anatomy / sexual acts,1.2,Mild,beatmeat
fudgepackers,fudge packer,sexual anatomy / sexual acts,2.2,Strong,fudgepackers
motherfucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucker
fuccs,fuck,sexual anatomy / sexual acts,2.0,Strong,fuccs
shitfuckmotherfucker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,shitfuckmotherfucker
twatzilla,twat,sexual anatomy / sexual acts,2.0,Strong,twatzilla
c0cksuccer,cock,sexual anatomy / sexual acts,2.0,Strong,c0cksuccer
cock sucking,cock,sexual anatomy / sexual acts,2.2,Strong,cocksucking
fck you,fuck,sexual anatomy / sexual acts,2.2,Strong,fck
0ral sex,sex,sexual anatomy / sexual acts,1.8,Strong,0ralsex
fagot,faggot,sexual orientation / gender,2.8,Severe,fagot
cawksucker,cock,sexual anatomy / sexual acts,2.6,Severe,cawksucker
chinky,chink,racial / ethnic slurs,3.0,Severe,chinky
m0ngoloid,mongoloid,racial / ethnic slurs,2.2,Strong,m0ngoloid
fux0r,fuck,sexual anatomy / sexual acts,2.0,Strong,fux0r
pull the pud,pull the pud,sexual anatomy / sexual acts,1.2,Mild,pullpud
cockface,cock,sexual anatomy / sexual acts,2.0,Strong,cockface
d1ckhead,dick,sexual anatomy / sexual acts,1.8,Strong,d1ckhead
mutha fucker,motherfucker,sexual anatomy / sexual acts,2.4,Strong,muthafucker
mothafucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafucka
w4nk3r,wank,sexual anatomy / sexual acts,1.6,Strong,w4nk3r
fuccers,fuck,sexual anatomy / sexual acts,2.2,Strong,fuccers
cockless,cock,sexual anatomy / sexual acts,1.4,Mild,cockless
fuckheaded,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckheaded
niglet,nigger,racial / ethnic slurs,3.0,Severe,niglet
coon1es,coon,racial / ethnic slurs,3.0,Severe,coon1es
d1ckheads,dick,sexual anatomy / sexual acts,1.8,Strong,d1ckheads
knobead,knob,sexual anatomy / sexual acts,1.4,Mild,knobead
fuckheads,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckheads
buttfuck,fuck,sexual anatomy / sexual acts,2.2,Strong,buttfuck
double pen,double pen,sexual anatomy / sexual acts,1.2,Mild,doublepen
sissy,sissy,sexual orientation / gender,1.0,Mild,sissy
coksucka,cock,sexual anatomy / sexual acts,1.8,Strong,coksucka
nigah,nigger,racial / ethnic slurs,2.8,Severe,nigah
coot,coot,sexual anatomy / sexual acts,1.6,Strong,coot
d1cksukka,dick,sexual anatomy / sexual acts,2.0,Strong,d1cksukka
dickvag,dick,sexual anatomy / sexual acts,1.6,Strong,dickvag
cocksucked,cock,sexual anatomy / sexual acts,2.0,Strong,cocksucked
wankers,wank,sexual anatomy / sexual acts,1.0,Mild,wankers
taking the piss,taking the piss,bodily fluids / excrement,1.0,Mild,takingpiss
cameltoe,cameltoe,sexual anatomy / sexual acts,1.2,Mild,cameltoe
fucking bastard,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckingbastard
puussy,pussy,sexual anatomy / sexual acts,1.4,Mild,puussy
bollockchops,bollocks,sexual anatomy / sexual acts,1.2,Mild,bollockchops
full of shit,shit,bodily fluids / excrement,1.0,Mild,fullshit
kyke,kike,racial / ethnic slurs,3.0,Severe,kyke
bitchy,bitch,sexual orientation / gender,1.2,Mild,bitchy
towelheads,towelhead,racial / ethnic slurs,3.0,Severe,towelheads
fcukers,fuck,sexual anatomy / sexual acts,2.2,Strong,fcukers
higga,nigger,racial / ethnic slurs,2.8,Severe,higga
puzzies,pussy,sexual anatomy / sexual acts,1.4,Mild,puzzies
bum-bandits,bum,sexual orientation / gender,1.8,Strong,bum-bandits
s-lut,slut,sexual orientation / gender,1.8,Strong,s-lut
fkbny,fuck,sexual anatomy / sexual acts,1.6,Strong,fkbny
upskirts,upskirt,sexual anatomy / sexual acts,1.4,Mild,upskirts
faggot,faggot,sexual orientation / gender,2.8,Severe,faggot
trashbitchez,bitch,sexual orientation / gender,1.2,Mild,trashbitchez
scamfuck,fuck,sexual anatomy / sexual acts,2.4,Strong,scamfuck
weiner,weiner,sexual anatomy / sexual acts,1.0,Mild,weiner
fuck your,fuck,sexual anatomy / sexual acts,2.4,Strong,fuck
go to hell,hell,other / general insult,1.0,Mild,gohell
mother fuck,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuck
shitfck,shit,sexual anatomy / sexual acts,2.4,Strong,shitfck
focker,fuck,sexual anatomy / sexual acts,2.0,Strong,focker
fuking,fuck,sexual anatomy / sexual acts,2.0,Strong,fuking
asses,ass,sexual anatomy / sexual acts,1.0,Mild,asses
whoars,whore,sexual orientation / gender,2.0,Strong,whoars
fvckbunny,fuck,sexual anatomy / sexual acts,2.2,Strong,fvckbunny
